cyclone_id,samples,wind_mae_kt,wind_rmse_kt,wind_r2,pressure_mae_hpa,pressure_rmse_hpa,pressure_r2,size_mae_nmi,size_rmse_nmi,size_r2
200301L,11,5.520567334511063,7.4271759447747625,-0.3888298052999475,3.4915648633783367,4.409659116452925,-0.3323082198874765,22.7669298350811,23.879052924033253,
200303E,2,12.216828614473343,12.508128524621753,0.30465209249574954,4.319157361984253,4.482536695151302,0.44185735490616773,24.624616250395775,25.776497899583177,
200305W,8,9.797017453238368,10.567535787096517,-0.6336137159177597,4.7394691109657,6.023835548764914,-0.33161815480968415,33.5651221126318,36.88521424110587,0.07115708625710127
200306E,8,7.521261209622029,9.192465038985167,-1.0119384164991567,6.32549010813247,7.42054848514319,-6.661153366311081,21.280451154336333,24.762086794450347,
200306L,2,8.573861002922062,8.660321884756673,,11.634293055534442,11.657548443895958,,28.06278993189335,28.15549830204041,
200306W,3,2.679226199785868,3.3344473671024875,0.540977737633989,4.153606239954645,4.6782878165538,-1.009973388271852,22.825733723243076,24.0737959887682,0.2047337163685159
200308W,9,18.98349206811852,22.947206125525657,-2.7114963266930334,11.766409516334534,15.106232124772406,-2.329261197695961,31.26998505493005,33.5335750131165,0.33732591556213
200311L,4,26.752928040921688,31.414906872115946,-13.354856345944986,22.969989810511436,29.36995100849723,-1149.1253629887033,71.2630847543478,87.27156013281595,
200312L,3,11.534952720006304,11.825719179677584,-4.075115754231244,7.8284249464670665,8.103118053510917,-7.207565273641817,41.469201577206455,42.361380769940034,
200312W,2,22.730287097394466,22.735862528736305,,8.225111520290397,8.237117490625247,,48.16403043270111,48.1932342197054,
200313E,7,13.727433907134193,16.229433756885644,0.3897715610691337,10.937740313155311,12.920500246738012,-0.31596316033975147,68.95909368140357,79.39919752094305,
200314W,6,15.203308490415415,17.082469772821735,0.7765424179482417,13.342053133249351,16.563097306813656,0.7115708382868724,39.519570763036604,44.03747241184272,0.7023537934565058
200315E,5,4.960136440396309,6.01404684502974,0.6522234667864215,2.5690350294113387,3.681572635989637,-0.02681644500512781,44.42877241037786,46.54700905769558,
200315L,5,17.360267278552055,22.05463912921655,-0.03174763940261727,9.559090350866313,11.362488951077328,0.34477184752662215,57.369851134717464,66.00838345521368,
200317W,4,10.949491053819656,11.104554059210429,0.8049646170756397,6.227845692634617,7.725355940378778,0.8031544031150833,60.040330824255946,73.2704225828241,0.1951725348831378
200321W,15,20.573635892073312,29.56022040709359,0.22785561507913932,18.037458495299,28.916835809138444,-0.16984357922755722,44.611034354145325,54.214723616738496,0.37125896206485465
200405E,13,17.44942663724606,24.33010263484737,-0.18222888352107058,9.534703299231243,14.467226118337132,-0.1772550999629645,32.541893055576544,43.348570762189,-0.7779777341825143
200412E,17,4.561088488382452,7.896682477460824,0.11547341173540593,4.9459981245153335,7.469570446794836,-1.3608499983357691,18.843093396986234,27.561125282544136,-0.03698118165700093
200413W,7,25.9800483414105,29.728855935204933,-0.2817106335264683,21.092145433596215,24.002768549172977,-0.3341451797369188,58.4833769351244,72.61607120743619,-0.5230273862809827
200414W,9,25.095424201753403,31.091349026838017,-0.6604553127704125,20.131453394889807,26.08788838645185,-1.1613271997797194,48.72397888435258,57.93702170566169,-1.303000243383606
200416E,1,21.10055024921894,21.10055024921894,,14.68518694341185,14.68518694341185,,82.41190952062607,82.41190952062607,
200418W,4,32.406004667282104,34.53960234741503,-9.604303380600513,23.452876454591717,25.67026685446159,-10.833222902433569,43.72136173546315,60.101499984567404,-0.37512431443269834
200427W,8,13.668762023560701,17.579519192619923,0.5591349735239217,10.903990682214499,15.03989413271415,0.5192222578629748,29.47217690069229,46.56546241441584,0.21453730943740534
200501L,8,9.770380152389407,10.804357900461827,0.3586035733996049,2.554327049851409,2.969070112062495,0.697974224228084,19.52464136867784,20.91685018937361,0.42446284552789226
200503W,6,10.561262764036657,11.589814754421651,0.8982309744611257,9.223751215139998,11.377365018428168,0.8571078237626668,34.36535210311413,37.22775522152885,0.3568421851575536
200504E,2,3.1291447281837463,3.131920258492555,-0.5694279208889714,5.255318737029995,5.267734485949722,-5.937256653615995,8.301691383123398,11.644217255553485,0.28284141226033965
200504W,7,20.168389448097773,26.441536765579503,0.5663140433482399,18.54821819918498,25.984906720247157,0.3665411930741461,32.10394741126469,35.412762826788075,0.380829307773521
200505L,13,21.795375488125355,26.63571033323033,0.44781648378195116,13.64106427843759,17.193392722203413,0.5649649479467944,37.44570501653048,42.82394502621239,-0.42908456141532336
200511W,13,12.48374169147932,15.585411689878223,0.6878206913811178,12.37842531250072,15.881362058017443,0.5762185611917212,35.09073771765599,39.35798727380613,0.033414511438838224
200512W,7,33.73817118150847,35.83775895794147,-6.1726582390298805,23.84937863009327,27.603335533248412,-10.912974631618896,79.03819079399109,84.97142077490044,-16.642455108160206
200514E,8,9.915698917582631,12.675116398060645,-0.3709531793440928,6.140092979371516,9.50558725699187,-5.693051044465646,11.745023470930755,14.495862576516526,0.7422784652524232
200516W,2,19.80087149888277,21.062985488831185,-6.887099692492676,11.322549557685818,13.493271758868712,-6.282735310347357,67.78586872667074,70.88134158539806,-21.329620377537246
200520L,2,4.185120582580566,5.190636881486771,-25.942711235450716,0.5246169567108154,0.6366484433620254,0.8986696898911775,17.610106301307678,22.647812926097718,-10.95556040639867
200524L,3,14.101866265137991,18.018152719597047,-1.0870603191717874,7.353433116276999,8.92092109013623,-1.888086684951357,34.82917575041453,36.08914619310128,-7.60318404148501
