intensity_bin,n,actual_mean_kt,predicted_mean_kt,mae_kt,rmse_kt,bias_kt,min_actual_kt,max_actual_kt,r2
<34 kt,119,26.008403361344538,37.298927600518994,11.419602370938334,14.094032357161467,11.290524239174458,15.0,33.0,-7.059473490879306
34–47 kt,89,39.57303370786517,46.28491236319703,9.755842362227066,15.613502201916702,6.711878655331858,35.0,45.0,-13.505219745833438
48–63 kt,61,54.63934426229508,56.63898974156282,15.24571610535266,19.182426031714705,1.9996454792677378,48.0,63.0,-17.397284587604382
64–95 kt,67,79.80597014925372,66.26196652817637,21.885738832848286,26.415903126151765,-13.54400362107736,65.0,95.0,-5.069812623866683
>=96 kt,44,114.27272727272727,84.07997425476259,30.450038537044417,39.05897823805474,-30.192753017964687,98.0,155.0,-9.148047469893674
