target,MAE,RMSE,R2,unit
Wind,15.692993505887294,21.8644131040507,0.45953341097548084,kt
Pressure,11.282563145037157,17.09940442203791,0.45942782347438504,hPa
Size,39.00482807616262,53.20900941811313,0.23187932204393624,nmi
