storm,timestamp,lat,lon,wind_kt,pressure_hpa,category,ci_no,pressure_drop_hpa,oci_diameter_deg
BIPARJOY,2023-06-13 06:00:00+00:00,21.0,66.7,85.0,962.0,VSCS,4.5,36.0,
BIPARJOY,2023-06-13 09:00:00+00:00,21.1,66.5,85.0,962.0,VSCS,4.5,36.0,
BIPARJOY,2023-06-13 12:00:00+00:00,21.3,66.5,85.0,962.0,VSCS,4.5,36.0,
BIPARJOY,2023-06-13 15:00:00+00:00,21.4,66.4,85.0,962.0,VSCS,4.5,36.0,
BIPARJOY,2023-06-13 18:00:00+00:00,21.7,66.3,85.0,962.0,VSCS,4.5,36.0,
BIPARJOY,2023-06-13 21:00:00+00:00,21.7,66.3,85.0,964.0,VSCS,4.5,36.0,
BIPARJOY,2023-06-14 00:00:00+00:00,21.8,66.3,80.0,966.0,VSCS,4.5,32.0,
BIPARJOY,2023-06-14 03:00:00+00:00,21.8,66.3,80.0,966.0,VSCS,4.5,32.0,
BIPARJOY,2023-06-14 06:00:00+00:00,21.8,66.3,80.0,966.0,VSCS,4.5,32.0,
BIPARJOY,2023-06-14 09:00:00+00:00,21.9,66.5,80.0,966.0,VSCS,4.5,32.0,
BIPARJOY,2023-06-14 12:00:00+00:00,22.0,66.7,75.0,970.0,VSCS,4.5,28.0,
BIPARJOY,2023-06-14 15:00:00+00:00,22.1,66.8,70.0,974.0,VSCS,4.0,24.0,
BIPARJOY,2023-06-14 18:00:00+00:00,22.2,66.9,70.0,974.0,VSCS,4.0,24.0,
BIPARJOY,2023-06-14 21:00:00+00:00,22.3,66.9,70.0,974.0,VSCS,4.0,24.0,
BIPARJOY,2023-06-15 00:00:00+00:00,22.4,67.0,70.0,974.0,VSCS,4.0,24.0,
BIPARJOY,2023-06-15 03:00:00+00:00,22.6,67.1,70.0,974.0,VSCS,4.0,24.0,
BIPARJOY,2023-06-15 06:00:00+00:00,22.7,67.3,65.0,976.0,VSCS,4.0,21.0,
BIPARJOY,2023-06-15 09:00:00+00:00,22.8,67.6,65.0,976.0,VSCS,4.0,21.0,
BIPARJOY,2023-06-15 12:00:00+00:00,22.9,68.0,65.0,976.0,VSCS,4.0,21.0,
BIPARJOY,2023-06-15 15:00:00+00:00,23.1,68.3,65.0,976.0,VSCS,4.0,21.0,
BIPARJOY,2023-06-15 18:00:00+00:00,23.3,68.6,60.0,980.0,SCS,,18.0,
BIPARJOY,2023-06-15 21:00:00+00:00,23.4,68.9,50.0,982.0,SCS,,12.0,
BIPARJOY,2023-06-16 00:00:00+00:00,23.4,69.2,50.0,978.0,SCS,,12.0,
BIPARJOY,2023-06-16 03:00:00+00:00,23.5,69.5,45.0,978.0,CS,,10.0,
BIPARJOY,2023-06-16 06:00:00+00:00,23.7,69.8,40.0,980.0,CS,,8.0,
BIPARJOY,2023-06-16 09:00:00+00:00,23.9,70.0,40.0,984.0,CS,,8.0,
BIPARJOY,2023-06-16 12:00:00+00:00,24.2,70.3,35.0,986.0,CS,,7.0,
BIPARJOY,2023-06-16 15:00:00+00:00,24.5,70.7,35.0,987.0,CS,,6.0,
BIPARJOY,2023-06-16 18:00:00+00:00,24.6,70.9,30.0,988.0,DD,,4.0,
BIPARJOY,2023-06-17 00:00:00+00:00,24.7,71.2,30.0,988.0,DD,,4.0,
BIPARJOY,2023-06-17 03:00:00+00:00,25.0,71.5,30.0,988.0,DD,,4.0,
BIPARJOY,2023-06-17 06:00:00+00:00,25.3,71.9,30.0,989.0,DD,,4.0,
BIPARJOY,2023-06-17 12:00:00+00:00,25.6,72.5,25.0,990.0,D,,3.0,
BIPARJOY,2023-06-17 18:00:00+00:00,25.8,72.8,25.0,991.0,D,,3.0,
BIPARJOY,2023-06-18 00:00:00+00:00,26.0,73.3,25.0,991.0,D,,3.0,
BIPARJOY,2023-06-18 03:00:00+00:00,26.2,73.8,25.0,992.0,D,,3.0,
BIPARJOY,2023-06-18 06:00:00+00:00,26.3,74.0,25.0,994.0,D,,3.0,
BIPARJOY,2023-06-18 12:00:00+00:00,26.3,74.7,20.0,995.0,D,,3.0,
BIPARJOY,2023-06-18 18:00:00+00:00,26.3,75.2,20.0,995.0,D,,3.0,
BIPARJOY,2023-06-19 00:00:00+00:00,26.3,76.0,20.0,995.0,D,,3.0,
