storm,timestamp,lat,lon,wind_kt,pressure_hpa,category,ci_no,pressure_drop_hpa,oci_diameter_deg
NISARGA,2020-06-01 00:00:00+00:00,13.0,71.4,25.0,1004.0,D,1.5,3.0,
NISARGA,2020-06-01 03:00:00+00:00,13.2,71.4,25.0,1004.0,D,1.5,3.0,
NISARGA,2020-06-01 06:00:00+00:00,13.7,71.3,25.0,1004.0,D,1.5,3.0,
NISARGA,2020-06-01 12:00:00+00:00,14.2,71.2,25.0,1003.0,D,1.5,4.0,
NISARGA,2020-06-01 18:00:00+00:00,14.4,71.2,25.0,1003.0,D,1.5,4.0,
NISARGA,2020-06-02 00:00:00+00:00,15.0,71.2,30.0,1000.0,DD,2.0,6.0,
NISARGA,2020-06-02 03:00:00+00:00,15.3,71.2,30.0,1000.0,DD,2.0,6.0,
NISARGA,2020-06-02 06:00:00+00:00,15.6,71.2,35.0,999.0,CS,2.5,7.0,
NISARGA,2020-06-02 09:00:00+00:00,16.0,71.2,35.0,999.0,CS,2.5,7.0,
NISARGA,2020-06-02 12:00:00+00:00,16.3,71.3,40.0,996.0,CS,2.5,8.0,
NISARGA,2020-06-02 15:00:00+00:00,16.0,71.4,40.0,996.0,CS,2.5,8.0,
NISARGA,2020-06-02 18:00:00+00:00,16.8,71.6,40.0,996.0,CS,2.5,8.0,
NISARGA,2020-06-02 21:00:00+00:00,17.1,71.8,45.0,994.0,CS,3.0,10.0,
NISARGA,2020-06-03 00:00:00+00:00,17.3,72.1,50.0,992.0,SCS,3.0,12.0,
NISARGA,2020-06-03 03:00:00+00:00,17.6,72.3,55.0,988.0,SCS,3.5,16.0,
NISARGA,2020-06-03 06:00:00+00:00,18.1,72.8,60.0,984.0,SCS,4.0,20.0,
NISARGA,2020-06-03 09:00:00+00:00,18.5,73.2,55.0,992.0,SCS,,14.0,
NISARGA,2020-06-03 12:00:00+00:00,19.0,73.7,40.0,998.0,CS,,8.0,
NISARGA,2020-06-03 15:00:00+00:00,19.6,74.0,30.0,1000.0,DD,,6.0,
NISARGA,2020-06-03 18:00:00+00:00,19.8,74.8,30.0,1001.0,DD,,5.0,
NISARGA,2020-06-04 00:00:00+00:00,20.5,76.0,25.0,1004.0,D,,4.0,
NISARGA,2020-06-04 03:00:00+00:00,21.2,76.9,20.0,1005.0,D,,3.0,
NISARGA,2020-06-04 06:00:00+00:00,21.8,77.6,20.0,1005.0,D,,3.0,
