storm_id,timestamp,latitude,longitude,wind_kt,pressure_hpa,category
ASANI,2022-05-07T06:00:00+00:00,9.4,91.3,25.0,996.0,Depression
ASANI,2022-05-07T12:00:00+00:00,10.3,90.4,30.0,995.0,Deep Depression
ASANI,2022-05-07T18:00:00+00:00,10.8,90.1,30.0,994.0,Deep Depression
ASANI,2022-05-08T00:00:00+00:00,11.3,89.3,35.0,992.0,Cyclonic Storm
ASANI,2022-05-08T03:00:00+00:00,11.5,89.0,40.0,990.0,Cyclonic Storm
ASANI,2022-05-08T06:00:00+00:00,11.8,88.7,45.0,988.0,Cyclonic Storm
ASANI,2022-05-08T09:00:00+00:00,12.0,88.4,45.0,988.0,Cyclonic Storm
ASANI,2022-05-08T12:00:00+00:00,12.3,88.2,50.0,986.0,Severe Cyclonic Storm
ASANI,2022-05-08T15:00:00+00:00,12.7,87.8,50.0,986.0,Severe Cyclonic Storm
ASANI,2022-05-08T18:00:00+00:00,13.1,87.5,55.0,984.0,Severe Cyclonic Storm
ASANI,2022-05-08T21:00:00+00:00,13.5,87.1,55.0,984.0,Severe Cyclonic Storm
ASANI,2022-05-09T00:00:00+00:00,13.9,86.8,55.0,983.0,Severe Cyclonic Storm
ASANI,2022-05-09T03:00:00+00:00,14.2,86.5,55.0,982.0,Severe Cyclonic Storm
ASANI,2022-05-09T06:00:00+00:00,14.6,86.3,55.0,982.0,Severe Cyclonic Storm
ASANI,2022-05-09T09:00:00+00:00,14.7,86.0,55.0,982.0,Severe Cyclonic Storm
ASANI,2022-05-09T12:00:00+00:00,14.9,85.8,55.0,982.0,Severe Cyclonic Storm
ASANI,2022-05-09T15:00:00+00:00,15.0,85.5,55.0,982.0,Severe Cyclonic Storm
ASANI,2022-05-09T18:00:00+00:00,15.1,85.2,55.0,982.0,Severe Cyclonic Storm
ASANI,2022-05-09T21:00:00+00:00,15.2,84.9,55.0,982.0,Severe Cyclonic Storm
ASANI,2022-05-10T00:00:00+00:00,15.3,84.6,55.0,982.0,Severe Cyclonic Storm
